"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","65873","Sepete urun eklenir, sepete gidilir, not eklenir, alternatifler kontrol edilir, urun silinir, poset bilgilendirmesi kontrolu, alternatif tercihler kontrolu","","Thu Oct 24 21:25:40 TRT 2024","passed","Thu Oct 24 21:26:46 TRT 2024","","Sepete urun eklenir, sepete gidilir, not eklenir, alternatifler kontrol edilir, urun silinir, poset bilgilendirmesi kontrolu, alternatif tercihler kontrolu","",""
"","89827","domates urunu aratilir, PDP sayfasina gidilir, miktari artirilir-azaltilir ve sepete eklenir, urun sepetten cikarilir","","Thu Oct 24 21:19:05 TRT 2024","passed","Thu Oct 24 21:20:35 TRT 2024","","<deger> urunu aratilir, PDP sayfasina gidilir, miktari artirilir-azaltilir ve sepete eklenir, urun sepetten cikarilir","",""
"","107044","Login kullanici ile arama kutusuna köfte degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:23:41 TRT 2024","passed","Thu Oct 24 21:25:28 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","77434","Icecekler Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:34:37 TRT 2024","passed","Thu Oct 24 21:35:55 TRT 2024","","Icecekler Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","69948","Sut, Kahvaltilik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:35:55 TRT 2024","passed","Thu Oct 24 21:37:05 TRT 2024","","Sut, Kahvaltilik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","76109","Login kullanici ile arama kutusuna ayran degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:27:39 TRT 2024","passed","Thu Oct 24 21:28:55 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","73100","Et, Tavuk, Balik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:30:59 TRT 2024","passed","Thu Oct 24 21:32:13 TRT 2024","","Et, Tavuk, Balik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","65221","Login kullanici ile arama kutusuna yumurta degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:25:28 TRT 2024","passed","Thu Oct 24 21:26:34 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","80557","Elektronik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:26:57 TRT 2024","passed","Thu Oct 24 21:28:17 TRT 2024","","Elektronik Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","71099","Login kullanici ile arama kutusuna kavanoz degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:34:00 TRT 2024","passed","Thu Oct 24 21:35:11 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
"","98043","Odeme adimina kadar ilerleme, odeme secenekleri kontrolu","","Thu Oct 24 21:26:46 TRT 2024","passed","Thu Oct 24 21:28:24 TRT 2024","","Odeme adimina kadar ilerleme, odeme secenekleri kontrolu","",""
"","76734","Pet Shop Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","","Thu Oct 24 21:37:05 TRT 2024","passed","Thu Oct 24 21:38:21 TRT 2024","","Pet Shop Kategorisi urun ekleme ve sepet'ten silme, alt kategorilerin gorunurlugu kontrolu","",""
"","75305","Login kullanici ile arama kutusuna domates degeri girilir, kategorilerdeki urunler sepete eklenir","","Thu Oct 24 21:21:23 TRT 2024","passed","Thu Oct 24 21:22:39 TRT 2024","","Login kullanici ile arama kutusuna <deger> degeri girilir, kategorilerdeki urunler sepete eklenir","",""
